I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.26700827,-1.0376192,-0.19458827,0.5512454,-0.055546124,-0.68501776,0.30696324,0.15617579,-0.024150642,-0.13322085,-0.34547892,-0.30799124
-0.24371767,-1.0263674,-0.21689577,0.52217937,-0.03479286,-0.706754,0.35631424,0.15210852,0.013147644,-0.11302875,-0.34547892,-0.30799124
-0.22974329,-0.992612,-0.21689577,0.5003798,-0.024416223,-0.68501776,0.38921493,0.1968487,0.08152784,-0.07264451,-0.34547892,-0.30799124
-0.2111108,-0.9588566,-0.21689577,0.47858024,-0.014039591,-0.6741497,0.40566525,0.29039636,0.1561244,-0.032260273,-0.34547892,-0.31656253
-0.19247831,-0.90259755,-0.21689577,0.44224766,-0.008851274,-0.6415453,0.43034074,0.327002,0.23693734,0.0013932593,-0.40216026,-0.4194177
-0.17850395,-0.8688421,-0.22247267,0.42044806,0.0067136763,-0.6415453,0.54549307,0.43275154,0.33018306,0.048508205,-0.40845814,-0.44513154
-0.16452958,-0.8238349,-0.21131891,0.391382,0.011901994,-0.59807277,0.6030692,0.5385011,0.34883222,0.10235385,-0.37696853,-0.43656024
-0.12260647,-0.74507225,-0.22247267,0.34051636,0.037843578,-0.57633656,0.6112944,0.5873085,0.44829428,0.13600738,-0.36437267,-0.43656024
-0.099315844,-0.6663096,-0.21131891,0.29691726,0.043031897,-0.52199596,0.6524203,0.7255964,0.6347857,0.21677586,-0.32658514,-0.43656024
-0.05739274,-0.59879875,-0.22804953,0.2387851,0.0741618,-0.5002597,0.66887057,0.9086244,0.7591134,0.33792856,-0.32028723,-0.43656024
0.07769284,-0.52003604,-0.3563176,0.107987754,0.20905803,-0.59807277,0.72644675,1.1363927,1.032634,0.56004184,-0.26990384,-0.3937039
0.18017155,-0.46377704,-0.4511245,0.0135229975,0.31282437,-0.6632815,0.8086984,1.4170357,1.3061547,0.74850166,-0.15024325,-0.3937039
0.26401776,-0.48628065,-0.5570851,-0.044609163,0.4114024,-0.7828309,0.8662746,1.673275,1.5485936,0.903308,-0.12505156,-0.38513264
0.41773584,-0.61005056,-0.80246747,-0.124540865,0.6085584,-1.0762702,0.9238508,1.9539181,1.8656292,1.132152,-0.1124557,-0.3422763
0.57611203,-0.8913458,-1.131503,-0.16087347,0.85240936,-1.5327315,0.98142695,2.2101574,2.0521207,1.2196511,-0.08726402,-0.35941884
0.74846256,-0.9476048,-1.3657317,-0.27713776,1.0547537,-1.7826982,0.94030106,2.3606472,2.157799,1.2398432,-0.07466817,-0.32513377
0.8416251,-1.048871,-1.5274612,-0.31347036,1.1792732,-1.9891926,0.85804945,2.4175892,2.13915,1.1792669,-0.055774394,-0.29941997
0.8183344,-1.4314325,-1.6891904,-0.16814,1.241533,-2.3369725,0.7922481,2.275234,2.0645533,1.1119599,-0.08726402,-0.30799124
