I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.34365293,0.1695244,-0.38220885,-0.28535363,0.37519354,-0.12672278,0.62514293,0.712459,0.7305566,0.7461355,1.117185,0.7934721
0.47446865,-0.07604445,-0.8688593,-0.2620946,0.6626024,-0.70994586,0.6909672,0.6193532,0.6386732,0.6469429,0.98783326,0.6840675
0.08202147,-0.66268116,-0.90025604,0.2379749,0.41268164,-1.2231821,0.7003707,0.46639362,0.4966716,0.46659273,0.8153643,0.5149876
-0.10485816,-0.7991083,-0.74327207,0.41241774,0.2252411,-1.2231821,0.79440546,0.36663744,0.42984727,0.3493652,0.7291298,0.44536644
-0.1328901,-0.78546554,-0.68047845,0.42404723,0.18775299,-1.1765242,0.8508263,0.2668812,0.33796388,0.2321376,0.6256484,0.35585356
-0.21698594,-0.77182287,-0.53919286,0.47056535,0.075288646,-1.0598797,0.78500193,0.20037705,0.26278654,0.15999754,0.5911546,0.2762866
-0.25436184,-0.7991083,-0.49209768,0.50545394,0.037800536,-1.0365508,0.75679153,0.14717372,0.1876092,0.1058925,0.56528425,0.2365031
-0.067482226,-0.75818014,-0.77466893,0.37752917,0.2627292,-1.2231821,0.7097742,0.08066956,0.11243187,0.033752464,0.5394139,0.20666546
-0.123546116,-0.8536792,-0.77466893,0.44730628,0.2252411,-1.2931689,0.6627568,0.027466236,0.037254542,-0.03838758,0.49629667,0.17682782
-0.31042576,-1.0583199,-0.7118753,0.6450082,0.075288646,-1.4331423,0.6627568,-0.032387502,-0.029569754,-0.09249262,0.47042635,0.12709846
-0.20764196,-0.8946073,-0.68047845,0.50545394,0.13776885,-1.246511,0.7755985,-0.05233875,0.13749099,-0.065440096,0.47904977,0.10720668
-0.22632992,-0.8536792,-0.6019865,0.5170834,0.087784685,-1.1765242,0.8132124,0.02081582,0.21266833,-0.047405083,0.47042635,0.15693606
-0.10485816,-0.717252,-0.6490817,0.37752917,0.20024902,-1.1065375,0.79440546,0.10062081,0.17925619,-0.065440096,0.48767325,0.2365031
-0.21698594,-0.8946073,-0.66478,0.5170834,0.1252728,-1.246511,0.82261586,0.1405233,0.21266833,-0.011335064,0.47042635,0.25639483
-0.10485816,-0.90825003,-0.85316086,0.45893583,0.27522522,-1.4098135,0.7755985,0.13387288,0.17925619,0.0878575,0.5307905,0.36579946
0.044645537,-0.5535394,-0.6961769,0.21471584,0.31271335,-0.9898929,0.8790367,0.2269787,0.2961987,0.29526016,0.64289534,0.4652582
-0.2823938,-0.8809645,-0.53919286,0.551972,0.037800536,-1.1531954,0.97307146,0.32008454,0.371376,0.40347022,0.66876566,0.44536644
-0.11420214,-0.812751,-0.74327207,0.42404723,0.21274506,-1.2231821,0.8790367,0.2668812,0.32125783,0.33133018,0.7118829,0.4752041
-0.02076233,-0.6353957,-0.68047845,0.284493,0.2627292,-1.0365508,0.82261586,0.23362914,0.30455175,0.30427763,0.7377533,0.5050417
0.025957577,-0.5535394,-0.6961769,0.21471584,0.3002173,-0.9898929,0.75679153,0.20702745,0.26278654,0.2591901,0.7377533,0.5050417
0.10070942,-0.47168317,-0.7118753,0.14493872,0.35020146,-0.94323504,0.6627568,0.1405233,0.23772743,0.21410257,0.7377533,0.48514995
0.110053405,-0.4034696,-0.6490817,0.11005014,0.33770543,-0.8265905,0.75679153,0.20037705,0.20431527,0.18705006,0.7377533,0.4354206
0.27824506,-0.32161328,-0.85316086,-0.029504126,0.525146,-0.8965772,0.86022973,0.27353165,0.15419707,0.13294502,0.7377533,0.40558296
0.43709275,-0.25339973,-1.0258433,-0.15742888,0.7000905,-0.96656394,0.78500193,0.2136779,0.11243187,0.09687501,0.70325947,0.37574533
0.3529969,-0.29432786,-0.9316529,-0.087651744,0.61261827,-0.94323504,0.75679153,0.16712497,0.062313657,0.060804985,0.694636,0.32601595
-0.19829798,-1.0719625,-0.90025604,0.5868606,0.2252411,-1.5731161,0.7097742,0.113921635,0.0121954335,0.006699951,0.694636,0.3061242
-0.188954,-0.9901063,-0.8217641,0.5403425,0.20024902,-1.4564713,0.6721603,0.06736873,-0.0045106434,-0.0023175564,0.6515187,0.35585356
0.09136545,-0.5398967,-0.77466893,0.17982727,0.37519354,-1.0365508,0.62514293,0.027466236,0.062313657,0.033752464,0.6515187,0.35585356
0.09136545,-0.48532584,-0.72757363,0.15656824,0.35020146,-0.94323504,0.5781256,-0.012436257,0.13749099,0.078839995,0.64289534,0.35585356
0.15677331,-0.36254144,-0.68047845,0.051902536,0.3876896,-0.80326146,0.54991513,-0.05233875,0.12913795,0.033752464,0.60840154,0.35585356
0.2595571,-0.23975702,-0.7118753,-0.06439269,0.46266586,-0.70994586,0.52170473,-0.072289996,0.0957258,0.015717458,0.5911546,0.35585356
0.25021312,-0.2261143,-0.68047845,-0.052763168,0.43767378,-0.68661696,0.71917766,0.014165406,0.062313657,0.16901505,0.5566608,0.33596182
-0.10485816,-0.78546554,-0.72757363,0.40078825,0.21274506,-1.1998532,0.8038089,0.034116652,0.037254542,0.16901505,0.5394139,0.29617837
-0.123546116,-0.717252,-0.6333833,0.3891587,0.17525695,-1.0832086,0.71917766,0.014165406,-0.012863682,0.12392752,0.5135436,0.31607005
0.044645537,-0.6353957,-0.79036725,0.24960442,0.35020146,-1.1298665,0.6909672,0.027466236,0.020548465,0.1058925,0.49629667,0.2663407
0.09136545,-0.77182287,-1.0258433,0.27286348,0.46266586,-1.4098135,0.62514293,0.014165406,0.12078491,0.060804985,0.47042635,0.25639483
0.072677486,-0.67632383,-0.90025604,0.24960442,0.4001856,-1.2231821,0.587529,0.027466236,0.07901973,0.033752464,0.444556,0.25639483
